7905664	11000
7905677	148327
7905691	6232
7905700	9898
7905733	10456
7905746	89872
7905754	57198
7905789	3570
7905801	126668
7905817	1141
7905826	1163
7905831	80308
7905848	55891
7905854	51043
7905862	149095
7905881	8751
7905909	1945
7905918	1944
7905929	1942
7905938	55974
7905951	80128
7905968	4580
7905974	57657
7905986	2224
7905999	23623
7906017	645682///642559
7906021	100129405///55154
7906041	7818
7906056	100129405///55154
7906061	23208
7906069	339403
7906072	28956
7906079	57111
7906085	4000
7906107	64218
7906128	9673
7906133	11243
7906140	632
7906146	84283
7906154	128229
7906163	57127
7906177	164118
7906185	128240
7906194	54865
7906197	60484
7906205	63827
7906223	51093
7906235	5546
7906244	4914
7906264	375033
7906284	149499
7906303	6651
7906307	55243
7906330	912
7906339	909
7906348	911
7906355	913///913
7906365	391109
7906367	343406
7906372	128368
7906374	128371
7906377	4332
7906386	149628
7906400	3428
7906417	57863
7906435	2532
7906443	2205
7906452	26476
7906458	325
7906469	54935
7906475	343413
7906486	284677///56833
7906496	3765
7906501	477
7906527	480
7906552	844
7906564	8682
7906574	474338
7906576	23385
7906597	4807
7906602	57216
7906613	57823
7906622	4063
7906642	126823
7906652	4817
7906662	51506
7906671	27005
7906688	5498
7906703	4720
7906720	2207
7906728	84134///9970
7906742	654790
7906746	6391
7906757	2212
7906764	3310
7906767	9103///2213
7906775	3311///3310
7906777	2213
7906786	84824
7906797	127943
7906810	11266
7906819	22926
7906838	9722
7906852	127933
7906863	6675
7906878	4921
7906900	4921
7906904	158160///51478
7906919	5999
7906930	83540
7906954	5087
7906973	440699
7906978	4259///4259
7906988	440700
7906995	7371
7907012	116123
7907024	57645
7907032	84944
7907053	92235
7907058	5451
7907079	92241
7907090	100128751
7907092	9019
7907104	55827
7907124	261726
7907135	375035
7907146	9095
7907156	6375
7907160	481
7907171	8548
7907183	55732
7907213	92344
7907222	5396
7907232	80133
7907249	2328
7907260	388714
7907271	2327
7907286	2326
7907297	2329
7907310	23215
7907353	51603
7907370	26052
7907396	92346
7907404	51430
7907430	356
7907439	9588
7907445	27252
7907466	91687///55157
7907486	84614
7907492	9910
7907531	9293
7907537	27101
7907549	63923
7907568	101928751
7907572	60676
7907601	57795
7907611	9462
7907633	84066
7907649	400798
7907657	55103
7907680	9917
7907690	64222
7907702	6646
7907719	126859
7907749	163589
7907769	148753
7907773	26092
7907790	9857
7907830	200058///5768
7907847	100506242
7907849	89884
7907861	9213
7907882	57710
7907893	3140
7907904	51278
7907907	100287948
7907911	777
7907972	388719
7907977	353299
7907986	353299
7908003	80896
7908022	1660
7908041	3915
7908072	3918
7908097	9887
7908125	23179
7908147	116461
7908161	81563
7908169	6045
7908178	54823
7908204	83872
7908312	10216
7908330	54953
7908347	10896
7908351	5321
7908371	339476
7908376	64407
7908382	431704
7908388	5996
7908397	6003
7908407	6233
7908409	5997
7908421	6738
7908437	79577
7908459	3075
7908481	10878
7908488	3078
7908492	10877
7908496	3080
7908499	81494
